"Title","SPPI INDEX OUTPUT DOMESTIC - H4941 Freight transport services by road 2015=100"
"CDID","HQEB"
"Source dataset ID","SPPI"
"PreUnit",""
"Unit",""
"Release date","22-10-2025"
"Next release","21 January 2026"
"Important notes",
"1996","66.7"
"1997","70.1"
"1998","69.8"
"1999","71.4"
"2000","74.8"
"2001","76.6"
"2002","77.3"
"2003","79.1"
"2004","80.4"
"2005","84.7"
"2006","86.2"
"2007","87.8"
"2008","93.3"
"2009","93.9"
"2010","95.7"
"2011","98.5"
"2012","99.5"
"2013","99.3"
"2014","99.4"
"2015","100.0"
"2016","100.9"
"2017","102.2"
"2018","104.5"
"2019","106.8"
"2020","108.0"
"2021","111.2"
"2022","122.9"
"2023","124.9"
"2024","125.6"
"1996 Q1","66.1"
"1996 Q2","66.2"
"1996 Q3","66.5"
"1996 Q4","68.0"
"1997 Q1","69.6"
"1997 Q2","69.9"
"1997 Q3","70.3"
"1997 Q4","70.5"
"1998 Q1","69.4"
"1998 Q2","69.7"
"1998 Q3","69.9"
"1998 Q4","70.1"
"1999 Q1","70.1"
"1999 Q2","71.0"
"1999 Q3","71.5"
"1999 Q4","72.9"
"2000 Q1","73.9"
"2000 Q2","74.5"
"2000 Q3","75.0"
"2000 Q4","75.8"
"2001 Q1","76.4"
"2001 Q2","76.7"
"2001 Q3","76.6"
"2001 Q4","76.4"
"2002 Q1","76.4"
"2002 Q2","76.9"
"2002 Q3","77.6"
"2002 Q4","78.2"
"2003 Q1","78.9"
"2003 Q2","79.1"
"2003 Q3","79.0"
"2003 Q4","79.3"
"2004 Q1","79.6"
"2004 Q2","80.0"
"2004 Q3","80.6"
"2004 Q4","81.3"
"2005 Q1","83.6"
"2005 Q2","84.3"
"2005 Q3","85.4"
"2005 Q4","85.4"
"2006 Q1","85.8"
"2006 Q2","86.1"
"2006 Q3","86.4"
"2006 Q4","86.6"
"2007 Q1","87.0"
"2007 Q2","87.4"
"2007 Q3","87.9"
"2007 Q4","88.8"
"2008 Q1","90.7"
"2008 Q2","93.6"
"2008 Q3","94.7"
"2008 Q4","94.1"
"2009 Q1","93.1"
"2009 Q2","93.4"
"2009 Q3","94.2"
"2009 Q4","94.7"
"2010 Q1","94.4"
"2010 Q2","95.7"
"2010 Q3","96.0"
"2010 Q4","96.7"
"2011 Q1","97.6"
"2011 Q2","98.7"
"2011 Q3","98.7"
"2011 Q4","98.9"
"2012 Q1","99.4"
"2012 Q2","99.6"
"2012 Q3","99.4"
"2012 Q4","99.6"
"2013 Q1","99.9"
"2013 Q2","99.9"
"2013 Q3","98.7"
"2013 Q4","98.5"
"2014 Q1","98.8"
"2014 Q2","99.2"
"2014 Q3","99.8"
"2014 Q4","99.9"
"2015 Q1","100.1"
"2015 Q2","100.0"
"2015 Q3","99.9"
"2015 Q4","100.0"
"2016 Q1","100.7"
"2016 Q2","100.9"
"2016 Q3","100.9"
"2016 Q4","101.1"
"2017 Q1","101.9"
"2017 Q2","102.3"
"2017 Q3","102.2"
"2017 Q4","102.6"
"2018 Q1","102.8"
"2018 Q2","103.4"
"2018 Q3","105.6"
"2018 Q4","106.2"
"2019 Q1","106.9"
"2019 Q2","107.0"
"2019 Q3","106.7"
"2019 Q4","106.7"
"2020 Q1","107.9"
"2020 Q2","107.9"
"2020 Q3","108.0"
"2020 Q4","108.1"
"2021 Q1","108.8"
"2021 Q2","109.1"
"2021 Q3","111.4"
"2021 Q4","115.6"
"2022 Q1","117.8"
"2022 Q2","122.1"
"2022 Q3","126.2"
"2022 Q4","125.7"
"2023 Q1","125.1"
"2023 Q2","125.2"
"2023 Q3","124.7"
"2023 Q4","124.6"
"2024 Q1","124.7"
"2024 Q2","125.6"
"2024 Q3","126.0"
"2024 Q4","126.1"
"2025 Q1","127.2"
"2025 Q2","128.2"
"2025 Q3","128.7"
