model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC,source
Beetroot — Full xreg,NA,NA,NA,NA,NA,-1858.11,-1792.54,lm_arima_model.Rmd (this file)
Beetroot — Dummies only,0.073,0.0512,2.7077,6.9506,6.5422,-1851.98,-1819.19,lm_arima_model.Rmd (this file)
Bulb Onions (Red) — Full xreg,NA,NA,NA,NA,NA,-975.08,-918.35,lm_arima_model.Rmd (this file)
Bulb Onions (Red) — Dummies only,0.1022,0.0635,1.5245,8.8614,9.2179,-983.37,-959.05,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Full xreg,NA,NA,NA,NA,NA,-1076.7,-1019.55,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Dummies only,0.0574,0.0452,1.189,8.3239,8.0148,-1091.26,-1066.76,lm_arima_model.Rmd (this file)
Cabbage — Full xreg,NA,NA,NA,NA,NA,-1780.74,-1719.23,lm_arima_model.Rmd (this file)
Cabbage — Dummies only,0.1245,0.0887,4.115,13.1264,11.7596,-1788.8,-1760.1,lm_arima_model.Rmd (this file)
Carrots — Full xreg,NA,NA,NA,NA,NA,-1718,-1652.72,lm_arima_model.Rmd (this file)
Carrots — Dummies only,0.0835,0.0642,3.3611,12.3486,11.3879,-1726.79,-1694.15,lm_arima_model.Rmd (this file)
Cooking Apples — Full xreg,NA,NA,NA,NA,NA,-402.88,-353.7,lm_arima_model.Rmd (this file)
Cooking Apples — Dummies only,0.0879,0.0746,1.0952,5.6329,5.4995,-417.97,-401.58,lm_arima_model.Rmd (this file)
Leeks — Full xreg,NA,NA,NA,NA,NA,-568.52,-511.82,lm_arima_model.Rmd (this file)
Leeks — Dummies only,0.1112,0.0817,1.3237,5.2518,5.2803,-578.58,-554.28,lm_arima_model.Rmd (this file)
Lettuce — Full xreg,NA,NA,NA,NA,NA,-1718.73,-1661.38,lm_arima_model.Rmd (this file)
Lettuce — Dummies only,0.0451,0.0358,1.5686,5.2351,5.2183,-1719.7,-1695.12,lm_arima_model.Rmd (this file)
Pears — Full xreg,NA,NA,NA,NA,NA,-294.09,-232.88,lm_arima_model.Rmd (this file)
Pears — Dummies only,0.1959,0.1479,1.4134,13.5799,14.101,-301.25,-270.65,lm_arima_model.Rmd (this file)
Dessert Apples — Full xreg,NA,NA,NA,NA,NA,-779.34,-723.15,lm_arima_model.Rmd (this file)
Dessert Apples — Dummies only,0.0925,0.0741,1.102,5.7608,5.606,-777.5,-753.42,lm_arima_model.Rmd (this file)
Cucumbers — Full xreg,NA,NA,NA,NA,NA,-110.88,-49.57,lm_arima_model.Rmd (this file)
Cucumbers — Dummies only,0.2521,0.2281,1.8075,22.1231,24.9012,-110.15,-79.5,lm_arima_model.Rmd (this file)
Strawberries — Full xreg,NA,NA,NA,NA,NA,1023.22,1081.66,lm_arima_model.Rmd (this file)
Strawberries — Dummies only,1.9472,1.312,1.3521,23.2507,19.928,1021.76,1050.98,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Full xreg,NA,NA,NA,NA,NA,94.16,149.71,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Dummies only,0.2794,0.2454,1.284,22.7232,26.7147,94.89,120.82,lm_arima_model.Rmd (this file)
Tomatoes (Vine) — Full xreg,NA,NA,NA,NA,NA,351.59,398.37,lm_arima_model.Rmd (this file)
Tomatoes (Vine) — Dummies only,0.5898,0.4872,1.5926,31.7028,34.3574,349.53,367.52,lm_arima_model.Rmd (this file)
Asparagus — Full xreg,NA,NA,NA,NA,NA,523.97,562.52,lm_arima_model.Rmd (this file)
Asparagus — Dummies only,5.4128,4.4574,2.7471,32.5398,29.0492,543.06,559.58,lm_arima_model.Rmd (this file)
Capsicums (Red) — Full xreg,NA,NA,NA,NA,NA,136.14,178.35,lm_arima_model.Rmd (this file)
Capsicums (Red) — Dummies only,0.73740000000000006,0.5111,2.1846,33.1067,35.9454,147.82,164.06,lm_arima_model.Rmd (this file)
Capsicums (Green) — Full xreg,NA,NA,NA,NA,NA,91.53,127.66,lm_arima_model.Rmd (this file)
Capsicums (Green) — Dummies only,0.5686,0.4373,1.7804,33.6327,27.3143,103.85,117.74,lm_arima_model.Rmd (this file)
Curly kale — Full xreg,NA,NA,NA,NA,NA,-73.28,-17.72,lm_arima_model.Rmd (this file)
Curly kale — Dummies only,0.2549,0.1944,1.4595,4.4336,4.3349,-86.4,-60.48,lm_arima_model.Rmd (this file)
Pak choi — Full xreg,NA,NA,NA,NA,NA,-95.98,-43.94,lm_arima_model.Rmd (this file)
Pak choi — Dummies only,0.1449,0.1218,0.9241,3.4248,3.4467,-102.02,-79.72,lm_arima_model.Rmd (this file)
Spring greens — Full xreg,NA,NA,NA,NA,NA,-266.71,-222.22,lm_arima_model.Rmd (this file)
Spring greens — Dummies only,0.3627,0.3312,4.3308,23.0131,24.477,-281.73,-266.9,lm_arima_model.Rmd (this file)
Beetroot — auto.arima,0.0744,0.0529,2.7978,7.1982,6.7706,-1853.25,-1828.66,arima_model.R (pre-run)
"Beetroot — ARIMA(1,1,1)",0.0804,0.0601,3.1816,8.2602,7.7434,-1844.93,-1832.64,arima_model.R (pre-run)
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.0737,0.0505,2.6752,6.8538,6.4814,-1514.04,-1494.17,arima_model.R (pre-run)
Bulb Onions (Red) — auto.arima,0.1019,0.0629,1.511,8.7837,9.0886,-986.82,-970.61,arima_model.R (pre-run)
"Bulb Onions (Red) — ARIMA(1,1,1)",0.1209,0.086,2.0669,12.1927,11.5256,-985.24,-973.08,arima_model.R (pre-run)
Bulb Onions (Yellow) — auto.arima,0.0574,0.0453,1.1897,8.3285,8.019,-1094.05,-1077.72,arima_model.R (pre-run)
"Bulb Onions (Yellow) — ARIMA(1,1,1)",0.055,0.0454,1.1929,8.3484,8.165,-1091.35,-1079.11,arima_model.R (pre-run)
"Bulb Onions (Yellow) — SARIMA(1,1,1)(1,1,1)[52]",0.1409,0.1122,2.9497,18.5607,21.6211,-844.14,-824.36,arima_model.R (pre-run)
Cabbage — auto.arima,0.1245,0.0886,4.1137,13.1215,11.7553,-1791.42,-1770.91,arima_model.R (pre-run)
"Cabbage — ARIMA(1,1,1)",0.1218,0.0853,3.9612,12.5732,11.2773,-1774.66,-1762.36,arima_model.R (pre-run)
Carrots — auto.arima,0.0835,0.0642,3.3606,12.3467,11.386,-1729.43,-1704.95,arima_model.R (pre-run)
"Carrots — ARIMA(1,1,1)",0.0837,0.0644,3.3684,12.3777,11.402,-1717.47,-1705.23,arima_model.R (pre-run)
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",0.1068,0.0848,4.4389,14.8669,15.717,-1401.94,-1382.17,arima_model.R (pre-run)
Cooking Apples — auto.arima,0.0879,0.0746,1.0952,5.6329,5.4995,-421.06,-412.87,arima_model.R (pre-run)
"Cooking Apples — ARIMA(1,1,1)",0.088,0.0747,1.0965,5.6399,5.5051,-419.13,-406.84,arima_model.R (pre-run)
"Cooking Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1849,0.1486,2.1801,10.8423,11.547,-271.75,-251.88,arima_model.R (pre-run)
Leeks — auto.arima,0.1112,0.0817,1.3235,5.2509,5.2792,-582.4,-566.2,arima_model.R (pre-run)
"Leeks — ARIMA(1,1,1)",0.1112,0.0819,1.3264,5.2621,5.2935,-567.11,-554.96,arima_model.R (pre-run)
"Leeks — SARIMA(1,1,1)(1,1,1)[52]",0.1432,0.1185,1.9188,7.5516,7.8324,-366.84,-347.24,arima_model.R (pre-run)
Lettuce — auto.arima,0.0452,0.036,1.5777,5.2655,5.2413,-1721.47,-1705.09,arima_model.R (pre-run)
"Lettuce — ARIMA(1,1,1)",0.0452,0.0363,1.5896,5.3053,5.278,-1717.15,-1704.86,arima_model.R (pre-run)
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",0.0605,0.0505,2.212,7.3074,7.6522,-1401.39,-1381.53,arima_model.R (pre-run)
Pears — auto.arima,0.1959,0.1465,1.3999,13.4617,13.874,-303.67,-280.71,arima_model.R (pre-run)
"Pears — ARIMA(1,1,1)",0.2183,0.1831,1.7489,17.0001,16.1844,-285.57,-274.1,arima_model.R (pre-run)
Dessert Apples — auto.arima,0.0931,0.0745,1.1081,5.7935,5.6319,-777.86,-761.81,arima_model.R (pre-run)
"Dessert Apples — ARIMA(1,1,1)",0.0962,0.0771,1.1474,6.0058,5.8171,-770.29,-758.25,arima_model.R (pre-run)
"Dessert Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1075,0.0884,1.3157,6.9119,6.8144,-571.65,-552.26,arima_model.R (pre-run)
Cucumbers — auto.arima,0.2792,0.2494,1.9761,23.9135,28.0013,-109.29,-86.3,arima_model.R (pre-run)
"Cucumbers — ARIMA(1,1,1)",0.2791,0.2473,1.9596,23.7295,27.8674,-101.48,-89.98,arima_model.R (pre-run)
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.3228,0.2788,2.2091,25.9622,31.4052,13.02,31.35,arima_model.R (pre-run)
Strawberries — auto.arima,1.9464,1.3115,1.3516,23.2393,19.9225,1017.81,1039.73,arima_model.R (pre-run)
"Strawberries — ARIMA(1,1,1)",1.9182,1.3006,1.3403,23.0265,19.7346,1031.21,1042.17,arima_model.R (pre-run)
"Strawberries — SARIMA(1,1,1)(1,1,1)[52]",2.0339,1.5567,1.6043,27.901,26.7179,939.88,957.14,arima_model.R (pre-run)
Tomatoes (Round) — auto.arima,0.2694,0.2382,1.2464,22.1429,25.9273,101.08,119.6,arima_model.R (pre-run)
"Tomatoes (Round) — ARIMA(1,1,1)",0.2761,0.2449,1.2813,22.6583,26.474,110.31,121.42,arima_model.R (pre-run)
"Tomatoes (Round) — SARIMA(1,1,1)(1,1,1)[52]",0.3103,0.2806,1.4681,25.3486,29.4888,157.37,174.94,arima_model.R (pre-run)
Tomatoes (Vine) — auto.arima,0.5769,0.4559,1.4902,29.7937,30.7629,354.95,365.75,arima_model.R (pre-run)
"Tomatoes (Vine) — ARIMA(1,1,1)",0.5769,0.4559,1.4902,29.7937,30.7629,354.95,365.75,arima_model.R (pre-run)
"Tomatoes (Vine) — SARIMA(1,1,1)(1,1,1)[52]",0.6073,0.474,1.5495,31.0364,31.1997,373.8,390.72,arima_model.R (pre-run)
Asparagus — auto.arima,5.6803,4.5341,2.7944,33.1664,28.2135,547.8,558.82,arima_model.R (pre-run)
"Asparagus — ARIMA(1,1,1)",5.8642,4.6153,2.8444,33.8505,28.0991,549.18,557.44,arima_model.R (pre-run)
Capsicums (Red) — auto.arima,0.6656,0.3269,1.3972,20.9169,18.5855,156.24,165.98,arima_model.R (pre-run)
"Capsicums (Red) — ARIMA(1,1,1)",0.6656,0.3269,1.3972,20.9169,18.5855,156.24,165.98,arima_model.R (pre-run)
"Capsicums (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.9185,0.5522,2.3602,51.3171,34.1408,191.31,205.94,arima_model.R (pre-run)
Capsicums (Green) — auto.arima,0.4295,0.2907,1.1834,20.2724,18.0299,119.11,127.45,arima_model.R (pre-run)
"Capsicums (Green) — ARIMA(1,1,1)",0.4295,0.2907,1.1834,20.2724,18.0299,119.11,127.45,arima_model.R (pre-run)
"Capsicums (Green) — SARIMA(1,1,1)(1,1,1)[52]",1.3833,1.3026,5.3032,169.6994,92.8331,101.62,112.65,arima_model.R (pre-run)
Curly kale — auto.arima,0.255,0.1944,1.4596,4.4339,4.3351,-89.35,-70.83,arima_model.R (pre-run)
"Curly kale — ARIMA(1,1,1)",0.2536,0.193,1.4491,4.401,4.3048,-82.87,-71.76,arima_model.R (pre-run)
"Curly kale — SARIMA(1,1,1)(1,1,1)[52]",0.5655,0.4639,3.4826,10.0835,10.8571,31.66,49.23,arima_model.R (pre-run)
Pak choi — auto.arima,0.1452,0.1219,0.9251,3.428,3.4522,-105.62,-90.75,arima_model.R (pre-run)
"Pak choi — ARIMA(1,1,1)",0.1407,0.1189,0.902,3.347,3.3409,-104.64,-93.49,arima_model.R (pre-run)
"Pak choi — SARIMA(1,1,1)(1,1,1)[52]",0.3803,0.327,2.4821,8.7826,9.3386,-10.39,7.25,arima_model.R (pre-run)
Spring greens — auto.arima,0.3627,0.3313,4.3327,23.0228,24.4959,-285.29,-277.88,arima_model.R (pre-run)
"Spring greens — ARIMA(1,1,1)",0.3629,0.3317,4.3381,23.0505,24.5472,-283.39,-272.26,arima_model.R (pre-run)
